recording_id,species,file_url,duration_s,quality,country
1139951,American Robin,https://xeno-canto.org/1139951/download,16.0,A,Canada
1139498,American Robin,https://xeno-canto.org/1139498/download,57.0,A,Canada
1138978,American Robin,https://xeno-canto.org/1138978/download,19.0,A,United States
1135112,American Robin,https://xeno-canto.org/1135112/download,26.0,A,United States
1107061,American Robin,https://xeno-canto.org/1107061/download,79.0,A,Mexico
1100538,American Robin,https://xeno-canto.org/1100538/download,114.0,A,United States
1099293,American Robin,https://xeno-canto.org/1099293/download,42.0,A,Mexico
1089129,American Robin,https://xeno-canto.org/1089129/download,16.0,A,United States
1079586,American Robin,https://xeno-canto.org/1079586/download,41.0,A,United States
1068477,American Robin,https://xeno-canto.org/1068477/download,56.0,A,Canada
1047670,American Robin,https://xeno-canto.org/1047670/download,45.0,A,United States
1023050,American Robin,https://xeno-canto.org/1023050/download,113.0,A,Canada
1010651,American Robin,https://xeno-canto.org/1010651/download,34.0,A,United States
1005778,American Robin,https://xeno-canto.org/1005778/download,68.0,A,Canada
999808,American Robin,https://xeno-canto.org/999808/download,11.0,A,United States
999643,American Robin,https://xeno-canto.org/999643/download,51.0,A,United States
999642,American Robin,https://xeno-canto.org/999642/download,40.0,A,United States
959619,American Robin,https://xeno-canto.org/959619/download,119.0,A,Canada
954703,American Robin,https://xeno-canto.org/954703/download,109.0,A,United States
938991,American Robin,https://xeno-canto.org/938991/download,36.0,A,Canada
914376,American Robin,https://xeno-canto.org/914376/download,39.0,A,Canada
892933,American Robin,https://xeno-canto.org/892933/download,28.0,A,United States
880805,American Robin,https://xeno-canto.org/880805/download,46.0,A,Mexico
880802,American Robin,https://xeno-canto.org/880802/download,36.0,A,Mexico
872369,American Robin,https://xeno-canto.org/872369/download,25.0,A,Mexico
860362,American Robin,https://xeno-canto.org/860362/download,26.0,A,United States
825254,American Robin,https://xeno-canto.org/825254/download,33.0,A,United States
803375,American Robin,https://xeno-canto.org/803375/download,22.0,A,Canada
789575,American Robin,https://xeno-canto.org/789575/download,90.0,A,Canada
779498,American Robin,https://xeno-canto.org/779498/download,15.0,A,Mexico
779497,American Robin,https://xeno-canto.org/779497/download,27.0,A,Mexico
772840,American Robin,https://xeno-canto.org/772840/download,22.0,A,United States
771921,American Robin,https://xeno-canto.org/771921/download,85.0,A,United States
752952,American Robin,https://xeno-canto.org/752952/download,11.0,A,Canada
749773,American Robin,https://xeno-canto.org/749773/download,37.0,A,Canada
744618,American Robin,https://xeno-canto.org/744618/download,54.0,A,Mexico
744610,American Robin,https://xeno-canto.org/744610/download,18.0,A,Mexico
744275,American Robin,https://xeno-canto.org/744275/download,84.0,A,United States
742848,American Robin,https://xeno-canto.org/742848/download,19.0,A,Canada
736763,American Robin,https://xeno-canto.org/736763/download,35.0,A,United States
734182,American Robin,https://xeno-canto.org/734182/download,51.0,A,United States
734125,American Robin,https://xeno-canto.org/734125/download,33.0,A,United States
729934,American Robin,https://xeno-canto.org/729934/download,46.0,A,United States
729933,American Robin,https://xeno-canto.org/729933/download,94.0,A,United States
728269,American Robin,https://xeno-canto.org/728269/download,37.0,A,United States
723888,American Robin,https://xeno-canto.org/723888/download,62.0,A,Mexico
722625,American Robin,https://xeno-canto.org/722625/download,21.0,A,Canada
716282,American Robin,https://xeno-canto.org/716282/download,23.0,A,Canada
710116,American Robin,https://xeno-canto.org/710116/download,119.0,A,United States
698509,American Robin,https://xeno-canto.org/698509/download,11.0,A,Mexico
690092,American Robin,https://xeno-canto.org/690092/download,48.0,A,Canada
686190,American Robin,https://xeno-canto.org/686190/download,36.0,A,United States
666135,American Robin,https://xeno-canto.org/666135/download,45.0,A,United States
663094,American Robin,https://xeno-canto.org/663094/download,34.0,A,United States
660898,American Robin,https://xeno-canto.org/660898/download,53.0,A,Canada
651831,American Robin,https://xeno-canto.org/651831/download,19.0,A,United States
649580,American Robin,https://xeno-canto.org/649580/download,47.0,A,Mexico
649134,American Robin,https://xeno-canto.org/649134/download,37.0,A,Mexico
647155,American Robin,https://xeno-canto.org/647155/download,25.0,A,Canada
647154,American Robin,https://xeno-canto.org/647154/download,10.0,A,Canada
645161,American Robin,https://xeno-canto.org/645161/download,113.0,A,United States
641669,American Robin,https://xeno-canto.org/641669/download,63.0,A,United States
641578,American Robin,https://xeno-canto.org/641578/download,63.0,A,United States
640975,American Robin,https://xeno-canto.org/640975/download,38.0,A,United States
639265,American Robin,https://xeno-canto.org/639265/download,53.0,A,United States
636519,American Robin,https://xeno-canto.org/636519/download,96.0,A,Canada
624425,American Robin,https://xeno-canto.org/624425/download,29.0,A,United States
610952,American Robin,https://xeno-canto.org/610952/download,24.0,A,United States
599316,American Robin,https://xeno-canto.org/599316/download,59.0,A,United States
574486,American Robin,https://xeno-canto.org/574486/download,34.0,A,United States
574484,American Robin,https://xeno-canto.org/574484/download,93.0,A,United States
574483,American Robin,https://xeno-canto.org/574483/download,96.0,A,United States
574476,American Robin,https://xeno-canto.org/574476/download,68.0,A,United States
574473,American Robin,https://xeno-canto.org/574473/download,118.0,A,United States
574471,American Robin,https://xeno-canto.org/574471/download,79.0,A,United States
574466,American Robin,https://xeno-canto.org/574466/download,88.0,A,United States
