train_idx,recording_id,window_idx
0,812729,1
1,720922,5
2,736268,9
3,1087463,9
4,813954,8
5,737551,3
6,743810,8
7,1048430,8
8,1086866,4
9,1139294,12
10,789575,12
11,984442,11
12,955923,1
13,825254,13
14,1060042,14
15,829232,3
16,1007629,1
17,941230,3
18,1138662,5
19,1023050,12
20,924239,11
21,994379,5
22,899902,8
23,698317,9
24,915555,7
25,1138662,11
26,721569,14
27,1012680,0
28,1049157,0
29,797245,7
30,955945,9
31,1010651,8
32,1012679,13
33,1046357,4
34,880054,5
35,1138668,8
36,1138672,11
37,737551,6
38,958842,10
39,1074392,5
40,721569,9
41,813955,0
42,676545,7
43,1015051,11
44,958837,5
45,749982,0
46,1074392,8
47,1039176,9
48,732715,14
49,694376,10
50,1072200,10
51,1060245,0
52,1138668,6
53,1021073,8
54,1083920,0
55,941230,2
56,1013038,1
57,731970,11
58,1027846,13
59,875451,7
60,1012680,10
61,735856,4
62,789575,5
63,1138662,6
64,1107061,13
65,729504,8
66,1133668,7
67,860679,3
68,975331,14
69,1087463,10
70,1012498,0
71,1139951,6
72,1021071,9
73,789575,14
74,1043795,11
75,1139604,6
76,1092304,10
77,1139294,7
78,1020218,10
79,973034,14
80,880054,10
81,1021072,9
82,1012404,13
83,839869,7
84,1020218,11
85,1014090,2
86,829231,7
87,1060245,11
88,957291,13
89,1139604,8
90,786155,12
91,1080242,10
92,924797,11
93,743810,5
94,1021072,3
95,1095092,10
96,955944,7
97,703911,5
98,661732,13
99,1021073,0
100,1021072,5
101,1047654,9
102,926363,14
103,1094463,4
104,1049703,2
105,1095092,9
106,1027846,2
107,825254,7
108,735856,3
109,1090318,13
110,839869,12
111,994379,4
112,764681,4
113,1138660,7
114,749982,6
115,1085542,13
116,743188,0
117,1138660,14
118,1012679,11
119,731970,8
120,1007629,12
121,1015039,9
122,958842,1
123,743188,4
124,676545,8
125,1045832,3
126,1133668,1
127,1012499,14
128,1139332,9
129,1013742,11
130,958966,4
131,1018064,7
132,1007629,6
133,736268,8
134,1107061,0
135,1029615,2
136,875451,13
137,957291,14
138,786155,10
139,1015039,11
140,1049157,0
141,999642,0
142,1013307,5
143,743188,9
144,812729,1
145,1015039,4
146,1024572,3
147,1138651,9
148,1138427,9
149,1021075,12
150,924626,7
151,957326,12
152,731970,5
153,1060245,8
154,676545,12
155,1014379,5
156,880802,10
157,686057,7
158,1045446,11
159,1083198,13
160,702570,5
161,1082015,14
162,679452,5
163,1024572,7
164,1012506,4
165,958835,5
166,980450,8
167,1036594,7
168,1012506,2
169,786154,0
170,803375,13
171,688631,1
172,984442,4
173,928007,14
174,958837,11
175,1018064,10
176,1104243,13
177,1049157,14
178,1013010,5
179,1056054,3
180,973034,6
181,1099293,7
182,1107072,1
183,1015039,0
184,994379,11
185,935615,11
186,720921,10
187,955942,1
188,1020218,1
189,1092304,8
190,1029615,4
191,1024572,4
192,1051517,9
193,975331,3
194,698317,3
195,661732,7
196,1036594,10
197,1013742,14
198,1138660,0
199,898674,4
200,803375,0
201,737551,7
202,1023050,10
203,1013038,7
204,1138670,4
205,924634,2
206,958838,7
207,766386,11
208,1039176,0
209,911663,7
210,923855,4
211,955923,5
212,735856,0
213,812729,3
214,731970,0
215,1012136,13
216,1012680,5
217,1015039,10
218,1139788,1
219,1013742,12
220,1085542,11
221,899902,0
222,1139788,1
223,691600,5
224,1077841,3
225,1085542,8
226,880056,6
227,720922,9
228,1047654,14
229,1080235,5
230,1139332,0
231,892933,0
232,1015040,1
233,691600,3
234,958837,0
235,661732,14
236,958844,11
237,677543,7
238,720922,6
239,686057,2
240,1021071,1
241,686057,12
242,1045441,11
243,1045832,5
244,1139294,10
245,1015043,9
246,786154,6
247,1035996,6
248,1069251,5
249,963141,7
250,1060245,10
251,786154,1
252,900144,1
253,702570,4
254,1138730,8
255,749982,9
256,786154,4
257,786153,5
258,1007629,13
259,1029615,11
260,1012506,3
261,1138668,8
262,1023050,14
263,958843,10
264,677543,13
265,720922,9
266,1012404,1
267,959153,8
268,1014090,6
269,1094463,5
270,1090713,11
271,900144,0
272,702570,0
273,1095084,12
274,1060245,6
275,959619,9
276,829232,8
277,1012680,10
278,1014090,9
279,1015040,7
280,1043795,3
281,939388,4
282,994379,6
283,1013307,4
284,1009102,3
285,732715,13
286,1080242,12
287,1138660,10
288,1012134,2
289,1139348,4
290,1138730,0
291,803375,3
292,1090713,6
293,1045446,12
294,1074392,4
295,736268,4
296,786153,6
297,1139790,0
298,691600,7
299,955923,2
300,899902,0
301,797245,5
302,1107072,6
303,1046357,12
304,1095084,3
305,694376,6
306,1138672,11
307,1133668,14
308,1009102,10
309,958832,6
310,677543,12
311,924636,14
312,839869,5
313,1015051,6
314,648368,12
315,963141,14
316,706924,5
317,973034,3
318,1021071,6
319,914376,0
320,880802,6
321,994379,0
322,789575,5
323,1024572,1
324,1079586,1
325,1012678,0
326,1138978,9
327,1013847,11
328,736268,12
329,924626,13
330,1013307,0
331,722853,5
332,676545,0
333,1007629,14
334,720339,12
335,1012499,3
336,880056,11
337,1013748,3
338,1138730,11
339,880053,4
340,1133843,5
341,926363,1
342,957326,1
343,1107061,9
344,958837,4
345,1099293,2
346,1021075,11
347,829232,10
348,1074392,7
349,1013307,13
350,1138670,11
351,1045441,3
352,789575,3
353,1100538,0
354,1013748,0
355,1080242,3
356,1138670,1
357,1139790,7
358,880802,7
359,1139332,3
360,764681,13
361,1012136,4
362,1138668,5
363,1094464,1
364,1007629,5
365,958842,6
366,1039176,11
367,994379,2
368,860679,8
369,1094464,5
370,860362,13
371,999808,4
372,1015040,5
373,958966,2
374,1012404,2
375,924797,3
376,1074392,6
377,1082015,6
378,924239,2
379,806343,4
380,1013010,6
381,1138978,1
382,1014379,7
383,1107061,14
384,803375,12
385,688631,6
386,1138427,9
387,955954,7
388,813955,1
389,803375,4
390,1095092,8
391,766386,2
392,924634,14
393,1138670,13
394,1027846,0
395,914376,8
396,880056,7
397,958838,0
398,753469,0
399,975331,3
400,1013307,11
401,688631,12
402,1045441,7
403,900144,5
404,686057,11
405,880802,3
406,911663,1
407,1090713,3
408,1009102,9
409,1012404,8
410,958837,3
411,1060244,5
412,879118,3
413,1060042,8
414,829232,11
415,1090318,14
416,1012500,7
417,743810,12
418,1024572,0
419,1139951,0
420,924631,6
421,1023050,6
422,1010651,7
423,720339,2
424,1018064,10
425,698317,7
426,955944,4
427,955942,8
428,898844,7
429,928007,10
430,1138651,5
431,1029783,7
432,1046357,2
433,1138668,3
434,1015043,7
435,1089801,5
436,698317,13
437,1015039,13
438,731970,11
439,1107061,2
440,1029615,14
441,1138670,12
442,743810,12
443,880056,0
444,732715,5
445,959619,2
446,1138670,2
447,898844,6
448,1079586,0
449,789575,9
450,1079586,3
451,749982,7
452,1138660,2
453,1069251,4
454,1090713,2
455,776026,14
456,829232,6
457,766386,12
458,1036594,1
459,899902,4
460,923855,6
461,923855,13
462,736268,8
463,1021073,5
464,1029783,12
465,1051517,10
466,813954,13
467,1049703,7
468,1021071,5
469,839869,5
470,1138651,4
471,813955,14
472,955944,13
473,880802,4
474,1138832,0
475,1138428,12
476,924626,11
477,1085542,3
478,911663,10
479,1015043,8
480,1049227,4
481,879118,0
482,955943,10
483,1013038,5
484,1139332,9
485,1012134,1
486,1107061,14
487,1014090,12
488,1139348,0
489,980450,5
490,1047654,10
491,1012404,14
492,994379,2
493,1089129,1
494,1015040,6
495,1049227,0
496,1136851,3
497,1021071,3
498,776026,10
499,1012679,5
500,973034,4
501,1012500,6
502,1136851,11
503,1013847,11
504,813955,2
505,860679,1
506,764681,5
507,1007629,7
508,1015039,1
509,1092304,11
510,939388,0
511,764681,7
512,766386,9
513,1080235,4
514,706135,2
515,720921,14
516,1139604,12
517,829232,2
518,743188,7
519,955944,11
520,875451,11
521,1096225,4
522,1014090,1
523,941230,4
524,679452,3
525,766386,12
